time_stamp	time	cpu_freq	cpu	cpu_user_time	cpu_system_time	cpu_idle_time	memory	net_sent	net_recv	net_upload_rate	net_download_rate	temp	wifi_freq	bit_rate	link_quality	link_quality_max	signal_level	gpu	gpu_mem	net	cpu_user_time_diff	cpu_system_time_diff	cpu_idle_time_diff	net_sent_diff	net_recv_diff	state	predicted	label
28-4-2022 22:37:51	1651199871.4545295	1500.0	34.2	835147.46	137021.92	7000159.4	16.2	508668273	16637801329	0.0004775666957057	9.57391514846596e-06	43.329	5.745	433.3	64	70	-46	0	0	0.0	6.179999999934807	1.5200000000186265	16.1800000006333	289316.0	5800.0	"augmented_reality"	0	5
28-4-2022 22:37:56	1651199876.4585218	1500.0	30.8	835152.63	137022.83	7000173.16	15.9	508668273	16637801731	0.0	8.03358547264388e-07	43.329	5.745	24.0	64	70	-46	0	0	0.0	5.1700000000419095	0.9099999999743886	13.759999999776483	0.0	402.0	"augmented_reality"	5	5
28-4-2022 22:38:1	1651199881.4625404	1500.0	30.3	835157.82	137023.74	7000187.03	15.8	508668273	16637802775	0.0	2.0863232032017724e-06	43.329	5.745	24.0	65	70	-45	0	0	0.0	5.189999999944121	0.9100000000034925	13.870000000111759	0.0	1044.0	"augmented_reality"	5	5
28-4-2022 22:38:6	1651199886.466562	1500.0	29.8	835163.04	137024.58	7000200.92	16.0	508668273	16637802976	0.0	4.016769196376587e-07	44.79	5.745	24.0	64	70	-46	0	0	0.0	5.220000000088476	0.8399999999965075	13.889999999664724	0.0	201.0	"augmented_reality"	5	5
28-4-2022 22:38:11	1651199891.4705763	1500.0	30.1	835168.21	137025.5	7000214.81	15.6	508668273	16637803378	0.0	8.033550258364673e-07	44.79	5.745	24.0	64	70	-46	0	0	0.0	5.169999999925494	0.9200000000128057	13.889999999664724	0.0	402.0	"augmented_reality"	5	5
28-4-2022 22:38:16	1651199896.474598	1500.0	30.3	835173.51	137026.32	7000228.7	15.5	508668273	16637803579	0.0	4.016769196376587e-07	45.277	5.745	24.0	64	70	-46	0	0	0.0	5.300000000046566	0.8200000000069849	13.890000000596046	0.0	201.0	"augmented_reality"	5	5
28-4-2022 22:38:21	1651199901.478615	1500.0	30.5	835178.76	137027.24	7000242.51	15.4	508668561	16637804281	5.755375998963998e-07	1.4028728997474744e-06	45.764	5.745	433.3	64	70	-46	0	0	0.0	5.25	0.9199999999837019	13.809999999590218	288.0	702.0	"augmented_reality"	5	5
28-4-2022 22:38:26	1651199906.482628	1500.0	30.8	835184.03	137028.12	7000256.35	16.0	508668627	16637804510	1.3189414014020728e-07	4.576326983652647e-07	45.277	5.745	24.0	63	70	-47	0	0	0.0	5.2700000000186265	0.8800000000046566	13.839999999850988	66.0	229.0	"augmented_reality"	5	5
28-4-2022 22:38:31	1651199911.486647	1500.0	30.4	835189.28	137029.01	7000270.21	15.4	508668627	16637804711	0.0	4.016771492944476e-07	44.303	5.745	24.0	64	70	-46	0	0	0.0	5.25	0.8900000000139698	13.860000000335276	0.0	201.0	"augmented_reality"	5	5
28-4-2022 22:38:36	1651199916.490673	1500.0	30.0	835194.53	137029.85	7000284.11	15.4	508668627	16637805113	0.0	8.033531120298935e-07	45.764	5.745	24.0	64	70	-46	0	0	0.0	5.25	0.8399999999965075	13.900000000372529	0.0	402.0	"augmented_reality"	5	5
